
statics
	100001 units/dev_tools/editable_text_short/editable_text_short/001 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text B.B Rodriguez
		vertical center
		word_wrap false
		wrap false
	100002 units/dev_tools/editable_text_short/editable_text_short/002 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text R. R. Mendoza
		vertical center
		word_wrap false
		wrap false
	100003 units/dev_tools/editable_text_short/editable_text_short/003 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text P. Montoto
		vertical center
		word_wrap false
		wrap false
	100004 units/dev_tools/editable_text_short/editable_text_short/004 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text J. Lopez
		vertical center
		word_wrap false
		wrap false
	100005 units/dev_tools/editable_text_short/editable_text_short/005 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text G. Del Toro
		vertical center
		word_wrap false
		wrap false
	100006 units/dev_tools/editable_text_short/editable_text_short/006 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text M. Zamora
		vertical center
		word_wrap false
		wrap false
	100007 units/dev_tools/editable_text_short/editable_text_short/007 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text A. C. Montes
		vertical center
		word_wrap false
		wrap false
	100008 units/dev_tools/editable_text_short/editable_text_short/008 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text G. Iglesias
		vertical center
		word_wrap false
		wrap false
	100009 units/dev_tools/editable_text_short/editable_text_short/009 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text R. Nadal
		vertical center
		word_wrap false
		wrap false
	100010 units/dev_tools/editable_text_short/editable_text_short/010 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text U. Corbero
		vertical center
		word_wrap false
		wrap false
	100033 units/dev_tools/editable_text_short/editable_text_short/011 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text A. Banderas
		vertical center
		word_wrap false
		wrap false
	100034 units/dev_tools/editable_text_short/editable_text_short/012 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text S. Segura
		vertical center
		word_wrap false
		wrap false
	100035 units/dev_tools/editable_text_short/editable_text_short/013 (2.29289, -100, 134.707)
		align center
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 0 0 0
		font_size 0,24
		render_template diffuse_vc_decal
		text J. Lorenzo
		vertical center
		word_wrap false
		wrap false
	100044 units/pd2_dlc_bex/props/bex_prop_vault_duty_schedule/bex_prop_vault_duty_schedule/001 (0.292797, -1.8495E-06, 134.707)
