
statics
	100103 units/pd2_dlc_deep/props/deep_int_pipes_corner/deep_pipe_corner/001 (0, 0, 12)
		mesh_variation interaction_enable
	100009 units/dev_tools/editable_text_long/editable_text_long/013 (-100, 100, 25)
		align left
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 1 1 1
		font_size 4,66
		render_template diffuse_vc_decal
		text 4
		vertical center
		word_wrap false
		wrap false
	100010 units/dev_tools/editable_text_long/editable_text_long/007 (50, -75, 25)
		align left
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 1 1 1
		font_size 4,66
		render_template diffuse_vc_decal
		text 2
		vertical center
		word_wrap false
		wrap false
	100011 units/dev_tools/editable_text_long/editable_text_long/014 (-100, -75, 25)
		align left
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 1 1 1
		font_size 4,66
		render_template diffuse_vc_decal
		text 3
		vertical center
		word_wrap false
		wrap false
	100012 units/dev_tools/editable_text_long/editable_text_long/008 (50, 100, 25)
		align left
		alpha 1
		blend_mode normal
		font fonts/font_medium_shadow_mf
		font_color 1 1 1
		font_size 4,66
		render_template diffuse_vc_decal
		text 1
		vertical center
		word_wrap false
		wrap false
