
statics
	100010 units/pd2_dlc_dark/props/editable_text_dunton/editable_text_dunton/editable_text_dunton_first_000 (24.2432, -12.458, 5)
		disable_shadows True
		align left
		alpha 1
		blend_mode normal
		font fonts/font_small_mf
		font_color 0 0 0
		font_size 0,99
		render_template diffuse_vc_decal
		text 0
		vertical center
		word_wrap false
		wrap false
	100011 units/pd2_dlc_dark/props/editable_text_dunton/editable_text_dunton/editable_text_dunton_first_001 (24.2432, -12.458, 5)
		disable_shadows True
		align left
		alpha 1
		blend_mode normal
		font fonts/font_small_mf
		font_color 0 0 0
		font_size 0,99
		render_template diffuse_vc_decal
		text 1
		vertical center
		word_wrap false
		wrap false
	100015 units/pd2_dlc_dark/props/editable_text_dunton/editable_text_dunton/editable_text_dunton_first_002 (24.2432, -12.458, 5)
		disable_shadows True
		align left
		alpha 1
		blend_mode normal
		font fonts/font_small_mf
		font_color 0 0 0
		font_size 0,99
		render_template diffuse_vc_decal
		text 2
		vertical center
		word_wrap false
		wrap false
	100016 units/pd2_dlc_dark/props/editable_text_dunton/editable_text_dunton/editable_text_dunton_first_003 (24.2432, -12.458, 5)
		disable_shadows True
		align left
		alpha 1
		blend_mode normal
		font fonts/font_small_mf
		font_color 0 0 0
		font_size 0,99
		render_template diffuse_vc_decal
		text 3
		vertical center
		word_wrap false
		wrap false
	100017 units/pd2_dlc_dark/props/editable_text_dunton/editable_text_dunton/editable_text_dunton_first_004 (24.2432, -12.458, 5)
		disable_shadows True
		align left
		alpha 1
		blend_mode normal
		font fonts/font_small_mf
		font_color 0 0 0
		font_size 0,99
		render_template diffuse_vc_decal
		text 4
		vertical center
		word_wrap false
		wrap false
	100018 units/pd2_dlc_dark/props/editable_text_dunton/editable_text_dunton/editable_text_dunton_first_005 (24.2432, -12.458, 5)
		disable_shadows True
		align left
		alpha 1
		blend_mode normal
		font fonts/font_small_mf
		font_color 0 0 0
		font_size 0,99
		render_template diffuse_vc_decal
		text 5
		vertical center
		word_wrap false
		wrap false
	100019 units/pd2_dlc_dark/props/editable_text_dunton/editable_text_dunton/editable_text_dunton_first_006 (24.2432, -12.458, 5)
		disable_shadows True
		align left
		alpha 1
		blend_mode normal
		font fonts/font_small_mf
		font_color 0 0 0
		font_size 0,99
		render_template diffuse_vc_decal
		text 6
		vertical center
