´point_spawn_player_001´ ElementPlayerSpawner 100325
	position 51.2563, 776.256, -350
	rotation 0, 0, 0.382683, -0.92388
	state standard
´point_spawn_player_002´ ElementPlayerSpawner 101646
	position -174.264, 1572.49, -350
	rotation 0, 0, 0.707106, -0.707107
	state standard
´point_spawn_player_003´ ElementPlayerSpawner 101647
	position -250, 1775, -350
	rotation 0, 0, 0.867349, -0.4977
	state standard
´point_spawn_player_004´ ElementPlayerSpawner 101648
	position -100, 500, -350
	rotation 0, 0, 0.382683, -0.92388
	state standard
´ai_spawn_enemy_001´ ElementSpawnEnemyDummy 101651
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -4750, 1850, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_002´ ElementSpawnEnemyDummy 101652
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -4750, 2000, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_003´ ElementSpawnEnemyDummy 101653
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -4750, 2150, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_005´ ElementSpawnEnemyDummy 101655
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -4600, 2000, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_006´ ElementSpawnEnemyDummy 101656
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -4600, 1850, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_007´ ElementSpawnEnemyDummy 101657
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1150, -1950, 450
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_008´ ElementSpawnEnemyDummy 101658
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1300, -1950, 450
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_009´ ElementSpawnEnemyDummy 101659
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1450, -1950, 450
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_010´ ElementSpawnEnemyDummy 101660
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1450, -1800, 450
	rotation 0, 0, 0.707107, -0.707107
