´logic_link_006´ MissionScriptElement 100174
´logic_link_007´ MissionScriptElement 100175
´point_special_objective_005´ ElementSpecialObjective 100191
	action_duration_max 20
	action_duration_min 15
	ai_group civilians
	align_position True
	align_rotation True
	attitude none
	base_chance 1
	followup_elements
	chance_inc 0
	interaction_voice none
	interrupt_dis -1
	interrupt_dmg 0
	interrupt_objective False
	interval -1
	needs_pos_rsrv True
	path_haste none
	path_stance none
	path_style none
	patrol_path none
	pose none
	position -1025, 3850, -300
	rotation 0, 0, 0, -1
	scan True
	search_distance 0
	search_position -725 3825 -300
	SO_access 3
	so_action none
	trigger_on none
	use_instigator True
´enemy_001´ ElementSpawnEnemyDummy 100232
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -6042, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_002´ ElementSpawnEnemyDummy 100233
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -5780, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_005´ ElementSpawnEnemyDummy 100236
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -8213, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_006´ ElementSpawnEnemyDummy 100237
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -7044, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_007´ ElementSpawnEnemyDummy 100238
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -8077, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_008´ ElementSpawnEnemyDummy 100239
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -6874, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_009´ ElementSpawnEnemyDummy 100240
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -7500, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_011´ ElementSpawnEnemyDummy 100242
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 2623, -5642, 0
	rotation 0, 0, -0.707107, -0.707107
	spawn_action e_sp_over_3m
	team default
	voice 0
´enemy_012´ ElementSpawnEnemyDummy 100243
	accessibility any
	amount 0
